"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,1,NA,"Hyperthermia","Central America to US"
"Central America",2016,"Jun",1,NA,NA,NA,1,NA,"Hyperthermia","Central America to US"
"US-Mexico Border",2016,"Jun",1,NA,NA,1,NA,NA,"Presumed hyperthermia","Central America to US"
"North Africa",2016,"Jun",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Jun",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Jun",10,329,319,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"North Africa",2016,"Jun",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,1,NA,"Presumed hyperthermia","Central America to US"
"Europe",2016,"Jun",1,NA,6,NA,1,NA,"Drowning","Western Balkans"
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Jun",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"North Africa",2016,"Jun",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Jun",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Jun",1,NA,NA,NA,NA,NA,"Suffocation",""
"North Africa",2016,"Jun",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Jun",2,NA,NA,NA,NA,NA,"Starvation",""
"North Africa",2016,"Jun",1,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Jun",1,NA,NA,NA,NA,NA,"Starvation",""
"North Africa",2016,"Jun",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"May",1,NA,NA,1,NA,NA,"Rape","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Unknown",""
"North Africa",2016,"May",2,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Shot",""
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2016,"May",45,200,625,NA,NA,NA,"Drowning","Central Mediterranean"
"Central America",2016,"May",1,NA,10,1,NA,NA,"Vehicle Accident","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Europe",2016,"May",1,NA,NA,NA,1,NA,"Hit by truck","Calais to United Kingdom"
"Middle East",2016,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"May",NA,47,78,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"May",1,NA,340,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Vehicle Accident","Central America to US"
"Mediterranean",2016,"May",NA,550,87,NA,NA,40,"Drowning","Central Mediterranean"
"Mediterranean",2016,"May",NA,9,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2016,"May",1,NA,526,NA,NA,NA,"Unknown","Central Mediterranean"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Hit by vehicle","Central America to US"
"Caribbean",2016,"May",NA,10,19,NA,NA,NA,"Presumed drowning",""
"Mediterranean",2016,"May",6,NA,139,1,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"May",5,250,460,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"May",NA,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"May",1,NA,NA,NA,NA,1,"Drowning","Central America to US"
"Central America",2016,"May",1,NA,1,NA,1,NA,"Murdered","Central America to US"
"Middle East",2016,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Mediterranean",2016,"May",4,NA,NA,4,NA,NA,"Fuel burns, Suffocation","Central Mediterranean"
"US-Mexico Border",2016,"May",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Vehicle Accident","Central America to US"
"Mediterranean",2016,"May",0,10,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Middle East",2016,"May",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Murdered","Central America to US"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2016,"May",9,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Respiratory illness, Sickness and lack of access to medicines","Central America to US"
"Mediterranean",2016,"May",NA,45,NA,7,NA,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2016,"May",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"May",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"May",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2016,"May",1,NA,NA,NA,NA,1,"Sickness and lack of access to medicines",""
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Mediterranean",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central Mediterranean"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Pulmonary complications, Sickness and lack of access to medicines","Central America to US"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Digestive bleeding, Sickness and lack of access to medicines","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"North Africa",2016,"May",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Hypothermia","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2016,"May",NA,57,NA,NA,NA,NA,"Presumed drowning",""
"North Africa",2016,"May",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Middle East",2016,"May",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"May",10,10,29,NA,NA,NA,"Drowning",""
"Europe",2016,"May",1,NA,NA,NA,1,NA,"Hit by vehicle","Calais to United Kingdom"
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Middle East",2016,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"May",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2016,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"May",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"May",1,NA,NA,NA,NA,1,"Drowning","Western Mediterranean"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2016,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Sub-Saharan Africa",2016,"May",5,2,NA,5,NA,2,"Drowning",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Starvation",""
"North Africa",2016,"May",1,NA,NA,NA,NA,NA,"Violence",""
"North Africa",2016,"May",3,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"May",3,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"May",3,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"May",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2016,"Apr",5,NA,NA,NA,NA,NA,"Vehicle Accident",""
"Mediterranean",2016,"Apr",0,84,26,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2016,"Apr",2,18,105,NA,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2016,"Apr",0,9,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Middle East",2016,"Apr",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",13,NA,19,NA,NA,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2016,"Apr",NA,3,1,NA,NA,NA,"Drowning","Western Mediterranean"
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,NA,NA,"Drowning","Central America to US"
"Central America",2016,"Apr",1,NA,NA,NA,1,NA,"Murdered","Central America to US"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Hyperthermia, Dehydration","Central America to US"
"Central America",2016,"Apr",1,NA,NA,NA,1,NA,"Hyperthermia","Central America to US"
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Horn of Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Apr",8,24,108,NA,NA,NA,"Unknown","Central Mediterranean"
"Middle East",2016,"Apr",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Apr",NA,6,NA,NA,NA,NA,"Drowning","Western Mediterranean"
"North Africa",2016,"Apr",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Apr",1,NA,NA,1,NA,1,"Drowning","Eastern Mediterranean"
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Apr",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Central America",2016,"Apr",1,NA,NA,NA,1,NA,"Hit by vehicle","Central America to US"
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Apr",4,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Mediterranean",2016,"Apr",3,NA,NA,2,1,NA,"Drowning","Central Mediterranean"
"Central America",2016,"Apr",1,NA,NA,NA,1,NA,"Shot","Central America to US"
"Central America",2016,"Apr",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Mediterranean",2016,"Apr",5,4,5,4,NA,1,"Drowning","Eastern Mediterranean"
"Mediterranean",2016,"Apr",0,459,37,1,NA,1,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Apr",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Apr",7,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Apr",1,NA,2,NA,1,NA,"Hit by car, Murdered","Central America to US"
"Middle East",2016,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Apr",2,NA,NA,NA,2,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Apr",1,NA,NA,1,NA,NA,"Hypothermia","Central America to US"
"Central America",2016,"Apr",1,NA,NA,NA,NA,NA,"Fall from train","Central America to US"
"Middle East",2016,"Apr",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Caribbean",2016,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning",""
"Europe",2016,"Apr",1,NA,NA,NA,1,NA,"Vehicle Accident, Crushed in back of truck",""
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2016,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Central America",2016,"Apr",1,NA,NA,NA,1,NA,"Cardiac arrest","Central America to US"
"North Africa",2016,"Apr",2,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"Apr",1,NA,NA,NA,NA,NA,"Murdered",""
"Europe",2016,"Mar",1,NA,NA,NA,1,NA,"Hit by vehicle","Calais to United Kingdom"
"Mediterranean",2016,"Mar",9,NA,127,NA,NA,NA,"Drowning","Central Mediterranean"
"Central America",2016,"Mar",4,NA,NA,NA,NA,1,"Vehicle Accident","Central America to US"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Dehydration",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Violence",""
"North Africa",2016,"Mar",3,NA,NA,NA,NA,NA,"Dehydration",""
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Accident (non-vehicle)","Central America to US"
"Mediterranean",2016,"Mar",NA,90,30,NA,NA,NA,"Drowning","Central Mediterranean"
"North Africa",2016,"Mar",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Mar",1,NA,NA,NA,1,NA,"Excessive Physical Abuse",""
"Mediterranean",2016,"Mar",NA,84,1,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Mar",2,NA,4,NA,NA,NA,"Vehicle Accident","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2016,"Mar",12,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Vehicle Accident","Central America to US"
"Middle East",2016,"Mar",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Mar",2,NA,NA,NA,2,NA,"Unknown (decomposed remains)","Western Balkans"
"Central America",2016,"Mar",1,NA,1,NA,1,NA,"Violence","Central America to US"
"Mediterranean",2016,"Mar",1,NA,NA,NA,1,1,"Respiratory illness, Sickness and lack of access to medicines","Central Mediterranean"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown (found dead next to train tracks), Train Accident","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,1,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,NA,NA,"Drowning","Central America to US"
"Mediterranean",2016,"Mar",NA,4,NA,NA,NA,NA,"Unknown","Central Mediterranean"
"Mediterranean",2016,"Mar",2,NA,40,2,NA,2,"Unknown (found on dinghy)","Eastern Mediterranean"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Mediterranean",2016,"Mar",2,NA,NA,NA,2,NA,"Unknown (found on dinghy)","Eastern Mediterranean"
"Middle East",2016,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2016,"Mar",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",21,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",11,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Starvation",""
"North Africa",2016,"Mar",10,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",3,NA,NA,NA,NA,NA,"Starvation",""
"North Africa",2016,"Mar",8,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Mar",51,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Hit by vehicle","Central America to US"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown (found dead next to train tracks)","Central America to US"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown (found dead next to train tracks)","Central America to US"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Caribbean",2016,"Mar",9,NA,18,NA,NA,NA,"Unknown (found on dinghy)",""
"Mediterranean",2016,"Mar",NA,NA,NA,NA,NA,NA,"Drowning","Central Mediterranean"
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2016,"Mar",4,NA,187,NA,NA,NA,"Burned","Central Mediterranean"
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",11,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Starvation",""
"North Africa",2016,"Mar",20,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",5,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Suffocation",""
"North Africa",2016,"Mar",3,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",6,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",9,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Mar",1,NA,NA,1,NA,1,"Vehicle Accident","Central America to US"
"Mediterranean",2016,"Mar",3,NA,750,NA,NA,NA,"Unknown (found on dinghy)","Central Mediterranean"
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Train Accident","Central America to US"
"Mediterranean",2016,"Mar",NA,8,5,NA,NA,NA,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Europe",2016,"Mar",3,NA,23,1,2,NA,"Drowning","Western Balkans"
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Middle East",2016,"Mar",1,NA,NA,NA,NA,1,"Sickness and lack of access to medicines",""
"Middle East",2016,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Mar",1,NA,NA,NA,NA,1,"Drowning","Western Mediterranean"
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Middle East",2016,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Europe",2016,"Mar",1,NA,NA,NA,1,1,"Fall from train",""
"Mediterranean",2016,"Mar",5,2,9,NA,NA,3,"Drowning","Eastern Mediterranean"
"Central America",2016,"Mar",1,NA,NA,NA,1,NA,"Asphyxiation","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Middle East",2016,"Mar",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2016,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Hypothermia","Central America to US"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"North Africa",2016,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2016,"Mar",25,NA,15,NA,NA,10,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2016,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
